districts,statecode,vaccinated1,vaccinated2,confirmed,deceased,recovered,tested,other
Hamirpur,UP,561456,185949,5232,102,5130,240382,0
Hapur,UP,658863,254519,12638,217,12421,299725,0
Hardoi,UP,1852490,537647,13755,349,13406,224784,0
Hathras,UP,701190,234481,2920,43,2877,260525,0
Jalaun,UP,819651,251406,11687,202,11482,221719,0
Jaunpur,UP,2189622,667013,22584,235,22349,322824,0
Jhansi,UP,1132511,379818,36556,663,35892,312540,0
Kannauj,UP,755119,257048,9231,114,9115,124019,0
Kanpur Dehat,UP,923661,290898,6197,110,6087,344697,0
Kanpur Nagar,UP,2251558,859280,82933,1905,81024,685820,0
Kasganj,UP,608818,147948,4250,53,4197,271969,0
Kaushambi,UP,760960,218775,4424,70,4353,207064,0
Kushinagar,UP,1632782,458054,15617,228,15389,314772,0
Lakhimpur Kheri,UP,1829019,382178,24410,292,24117,368533,0
Lalitpur,UP,627553,143519,12742,128,12613,21781,0
Lucknow,UP,3106658,1488333,238839,2651,236165,1237583,0
Maharajganj,UP,1283534,372559,12440,140,12300,334716,0
Mahoba,UP,444352,148388,4268,86,4182,142992,0
Mainpuri,UP,860461,219990,10028,182,9846,228496,0
Mathura,UP,1207578,418117,20297,402,19893,198379,0
Mau,UP,1017497,307052,8333,80,8252,281445,0
Meerut,UP,1764744,842448,69480,898,68567,798404,0
Mirzapur,UP,1335308,462157,11088,116,10972,312764,0
Moradabad,UP,1390249,443211,39102,349,38752,400459,0
Muzaffarnagar,UP,1264005,467387,31009,269,30737,161704,0
Pilibhit,UP,978332,256931,11032,193,10838,291538,0
Pratapgarh,UP,1480021,456869,16038,163,15875,100500,0
Prayagraj,UP,2731341,862244,78699,1088,77609,729300,0
Rae Bareli,UP,1436175,344694,17104,343,16761,387408,0
Rampur,UP,989666,250420,11826,148,11676,274288,0
Saharanpur,UP,1638111,576986,32730,420,32309,266387,0
Sambhal,UP,893786,204352,9438,106,9331,309333,0
Sant Kabir Nagar,UP,799506,195105,8159,98,8061,292606,0
Shahjahanpur,UP,1743273,538827,20361,444,19916,437195,0
Shamli,UP,604968,206438,12976,45,12931,246597,0
Shrawasti,UP,515155,181654,4388,35,4353,221566,0
Siddharthnagar,UP,1225133,479630,9373,100,9273,295047,0
Sitapur,UP,2139996,497241,12398,185,12211,289473,0
Sonbhadra,UP,812891,236871,16807,251,16556,306175,0
Sultanpur,UP,1178195,370998,14915,138,14777,309395,0
Unnao,UP,1554190,420513,15011,254,14757,298886,0
Varanasi,UP,2109381,843905,85501,971,84528,595510,0
Almora,UT,378242,215715,12190,196,11378,84443,614
Bageshwar,UT,183447,131244,5764,60,5678,55626,25
Chamoli,UT,273850,191420,12242,62,11972,90390,204
Champawat,UT,183354,119870,7603,53,7358,95068,189
Dehradun,UT,1465464,793803,112363,3521,108137,401496,598
Haridwar,UT,1456257,635360,51498,1019,49096,369542,1376
Nainital,UT,722854,398680,39232,944,38140,204422,134
Pauri Garhwal,UT,431320,229262,17686,315,16668,138878,701
Pithoragarh,UT,318644,183765,10260,181,9962,72686,108
Rudraprayag,UT,170911,113480,8800,106,8535,52378,159
Tehri Garhwal,UT,381493,206527,15835,108,14827,105111,900
Udham Singh Nagar,UT,1277738,518326,37875,761,36315,337292,799
Uttarkashi,UT,234425,160687,12548,74,12129,120026,343
Alipurduar,WB,949775,353666,15589,102,15441,0,0
Bankura,WB,2245147,706177,36313,274,35839,0,0
Birbhum,WB,2152966,846286,41197,286,40727,0,0
Cooch Behar,WB,1444232,421663,29275,97,29060,0,0
Dakshin Dinajpur,WB,1063493,363056,17889,170,17573,0,0
Darjeeling,WB,1324555,664306,57143,539,56326,0,0
Hooghly,WB,3368156,1343978,86300,990,84650,0,0
Howrah,WB,2905925,1254076,98757,1524,96567,0,0
Jalpaiguri,WB,1144138,410719,41982,572,41256,0,0
Jhargram,WB,714456,211586,12135,27,12063,0,0
Kalimpong,WB,180713,124420,7036,54,6950,0,0
Kolkata,WB,4784084,3039486,322541,5152,315146,0,0
Malda,WB,2029144,590497,33406,186,33121,0,0
Murshidabad,WB,3952659,976111,33993,328,33605,0,0
Nadia,WB,2798942,884320,73333,859,72054,0,0
North 24 Parganas,WB,6547702,2720315,329257,4833,323097,0,0
Other State,WB,0,0,66,3,63,0,0
Paschim Bardhaman,WB,1789611,677747,57778,356,57184,0,0
Paschim Medinipur,WB,2758576,877978,53581,507,52820,0,0
Purba Bardhaman,WB,2596246,859528,42005,198,41588,0,0
Purba Medinipur,WB,3560589,1471674,63098,397,62549,0,0
Purulia,WB,1679941,492310,19419,113,19283,0,0
South 24 Parganas,WB,4850898,1832073,100957,1336,98950,0,0
Uttar Dinajpur,WB,1341457,436182,19858,238,19559,0,0
